#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
17_9089,,Q9089,Tag:religion=hindy
17_9174,,Q9174,Key:religion
17_9199,,Q9199,Key:name:vi
17_9232,,Q9232,Tag:religion=jain
17_9259,,Q9259,Tag:heritage:operator=whc
17_9268,,Q9268,Tag:religion=jewish
17_9316,,Q9316,Tag:religion=sikh
17_9350,,Q9350,Tag:sport=yoga
17_9436,,Q9436,Tag:denomination=digambara
17_9581,,Q9581,Tag:religion=confucian
17_9585,,Q9585,Tag:denomination=shia
17_9592,,Q9592,Tag:denomination=catholic|Tag:denomination=roman_catholic
17_9598,,Q9598,Tag:religion=taoist
17_9601,,Q9601,Tag:religion=zoroastrian
17_9603,,Q9603,Tag:denomination=sufi
17_9842,,Q9842,Tag:isced:level=1
17_10145,,Q10145,Tag:historic=milestone
17_10379,,Q10379,Tag:healthcare:speciality=cardiology
17_10384,,Q10384,Tag:healthcare:speciality=geriatrics
17_10811,,Q10811,Tag:zoo=reptile
17_10884,,Q10884,Tag:natural=tree
17_10962,,Q10962,Tag:sport=rugby|Tag:sport=rugby_league
17_11035,,Q11035,Tag:amenity=telephone
17_11180,,Q11180,Tag:healthcare:speciality=internal
17_11292,,Q11292,Tag:reef=coral
17_11315,,Q11315,Tag:shop=mall
17_11416,,Q11416,Key:gambling
17_11417,,Q11417,Tag:sport=martial_arts
17_11419,,Q11419,Tag:sport=karate
17_11420,,Q11420,Tag:sport=judo
17_11442,,Q11442,Key:bicycle
17_11446,,Q11446,Key:ship
17_11469,,Q11469,Key:recycling:glass
17_11500,,Q11500,Key:area
17_11635,,Q11635,Tag:amenity=theatre
17_11642,,Q11642,Tag:shop=pottery
17_11652,,Q11652,Key:frequency
17_11691,,Q11691,Tag:amenity=stock_exchange
17_11707,,Q11707,Key:restaurant|Tag:amenity=restaurant
17_11756,,Q11756,Tag:historic:civilization=prehistoric
17_11759,,Q11759,Tag:historic:period=stone-age
17_11761,,Q11761,Tag:historic:period=bronze-age
17_11764,,Q11764,Tag:historic:period=iron-age
17_11765,,Q11765,Key:fee
17_11768,,Q11768,Tag:historic:civilization=ancient_egyptian
17_11772,,Q11772,Tag:historic:civilization=ancient_greece
17_12143,,Q12143,Key:timezone
17_12162,,Q12162,Tag:railway=buffer_stop
17_12271,,Q12271,Tag:artwork_type=architecture
17_12280,,Q12280,Key:bridge|Tag:man_made=bridge|Tag:seamark:type=bridge
17_12284,,Q12284,Tag:waterway=canal
17_12323,,Q12323,Tag:waterway=dam
17_12493,,Q12493,Tag:roof:shape=dome|Tag:tower:construction=dome
17_12505,,Q12505,Tag:cuisine=russian
17_12511,,Q12511,Tag:highway=steps
17_12516,,Q12516,Tag:tomb=pyramid
17_12518,,Q12518,Tag:building=tower|Tag:man_made=tower
17_12544,,Q12544,Tag:historic:civilization=byzantine
17_12554,,Q12554,Tag:historic:civilization=middle-ages
17_12567,,Q12567,Tag:historic:civilization=vikingian
17_12570,,Q12570,Tag:bridge:structure=suspension
17_12731,,Q12731,Tag:noexit=yes
17_12743,,Q12743,Key:ford|Tag:ford=yes
17_12783,,Q12783,Tag:garden:style=english
17_12877,,Q12877,Tag:created_by=JOSM
17_13158,,Q13158,Tag:crop=strawberry
17_13233,,Q13233,Key:ice_cream
17_13499,,Q13499,Key:payment:debit_cards
17_13964,,Q13964,Tag:advertising=column
17_14092,,Q14092,Tag:leisure=sports_hall
17_14373,,Q14373,Key:fishing|Tag:sport=fishing
17_14378,,Q14378,Tag:building:architecture=neoclassicism
17_14659,,Q14659,Tag:stone_type=coat_of_arms
17_14745,,Q14745,Key:furniture
17_14748,,Q14748,Tag:amenity=table
17_14922,,Q14922,Tag:sport=table_soccer
17_14970,,Q14970,Key:tanker
17_15026,,Q15026,Tag:amenity=chair|Tag:amenity=stool
17_15262,,Q15262,Tag:railway=ferry
17_15284,,Q15284,Tag:place=municipality
17_15324,,Q15324,Tag:natural=water
17_15835,,Q15835,Tag:garden:style=japanese
17_16068,,Q16068,Key:currency:DEM
17_16406,,Q16406,Tag:shop=tobacco
17_16521,,Q16521,Key:taxon
17_16560,,Q16560,Tag:building=palace|Tag:historic=palace
17_16917,,Q16917,Tag:amenity=hospital|Tag:healthcare=hospital
17_16970,,Q16970,Tag:building=church
17_17161,,Q17161,Tag:historic:civilization=etruscan
17_17167,,Q17167,Tag:historic:period=roman_republic
17_17240,,Q17240,Key:snowmobile|Tag:route=snowmobile
17_17514,,Q17514,Tag:artwork_type=graffiti
17_17884,,Q17884,Key:lgbtq
17_18822,,Q18822,Tag:source=GPS
17_19793,,Q19793,Tag:playground=seesaw
17_21204,,Q21204,Key:name:pronunciation
17_22656,,Q22656,Tag:resource=oil
17_22657,,Q22657,Tag:building:material=concrete
17_22667,,Q22667,Tag:route=railway
17_22679,,Q22679,Tag:religion=bahai
17_22698,,Q22698,Tag:leisure=park
17_22715,,Q22715,Tag:landuse=vineyard
17_22733,,Q22733,Tag:building=garage|Tag:building=garages
17_22857,,Q22857,Tag:sport=climbing
17_22908,,Q22908,Tag:amenity=social_facility|Tag:social_facility=assisted_living
17_22995,,Q22995,Tag:shop=alcohol|Tag:tourism=wine_cellar
17_23364,,Q23364,Tag:healthcare:speciality=humanistic
17_23397,,Q23397,Tag:water=lake
17_23413,,Q23413,Tag:historic=castle
17_23442,,Q23442,Tag:place=island
17_23540,,Q23540,Tag:denomination=protestant
17_23712,,Q23712,Tag:protection_title=Bien de Interés Cultural
17_23757,,Q23757,Tag:resource=limestone
17_24354,,Q24354,Tag:amenity=theatre
17_24489,,Q24489,Tag:resource=coal
17_24609,,Q24609,Tag:gauge=1000
17_25391,,Q25391,Tag:landform=dune_system
17_27349,,Q27349,Tag:amenity=dentist|Tag:healthcare=dentist
17_27590,,Q27590,Tag:natural=heath
17_27686,,Q27686,Tag:tourism=hotel
17_27712,,Q27712,Tag:denomination=renewal
17_27981,,Q27981,Tag:playground=hopscotch
17_28077,,Q28077,Tag:bath:type=hammam|Tag:leisure=turkish_bath
17_28179,,Q28179,Tag:building:architecture=joseon|Tag:historic:period=joseon
17_28370,,Q28370,Tag:historic:period=koguryo
17_28427,,Q28427,Key:name:cal
17_28456,,Q28456,Tag:historic:period=silla
17_28567,,Q28567,Tag:historic:civilization=mayan
17_28573,,Q28573,Tag:historic:civilization=inca
17_28575,,Q28575,Tag:border_type=county|Tag:place=county
17_28803,,Q28803,Tag:cuisine=sandwich
17_29358,,Q29358,Key:orienteering|Tag:sport=orienteering
17_29483,,Q29483,Tag:healthcare:speciality=palliative
17_30022,,Q30022,Tag:amenity=cafe
17_30198,,Q30198,Tag:wetland=marsh
17_31207,,Q31207,Key:healthcare
17_31920,,Q31920,Tag:sport=swimming
17_32112,,Q32112,Tag:sport=boxing
17_32731,,Q32731,Tag:denomination=polish_national_catholic
17_32768,,Q32768,Tag:historic:civilization=anglo-saxon
17_32815,,Q32815,Tag:building=mosque
17_32880,,Q32880,Key:building:architecture
17_33203,,Q33203,Tag:denomination=methodist
17_33231,,Q33231,Tag:craft=photographer
17_33506,,Q33506,Key:museum|Tag:tourism=museum
17_33565,,Q33565,Tag:building=stilt_house
17_33709,,Q33709,Tag:highway=speed_camera
17_33837,,Q33837,Tag:place=archipelago
17_34023,,Q34023,Tag:tomb=tumulus
17_34027,,Q34027,Key:latitude
17_34038,,Q34038,Tag:waterway=waterfall
17_34198,,Q34198,Key:name:was
17_34442,,Q34442,Key:highway|Tag:highway=road|Tag:route=road
17_34493,,Q34493,Key:motorcycle
17_34627,,Q34627,Tag:building=synagogue
17_34636,,Q34636,Tag:building:architecture=art_nouveau
17_34679,,Q34679,Tag:resource=sand
17_34740,,Q34740,Key:genus
17_34763,,Q34763,Tag:natural=peninsula
17_34770,,Q34770,Key:language
17_35032,,Q35032,Tag:denomination=orthodox
17_35054,,Q35054,Tag:amenity=post_office
17_35059,,Q35059,Key:width
17_35269,,Q35269,Tag:denomination=jehovahs_witness
17_35273,,Q35273,Tag:telescope:type=optical
17_35473,,Q35473,Key:window
17_35666,,Q35666,Tag:natural=glacier
17_35749,,Q35749,Tag:government=parliament
17_35872,,Q35872,Key:boat
17_35966,,Q35966,Tag:historic:civilization=celtic
17_36253,,Q36253,Key:length
17_36389,,Q36389,Tag:sport=taekwondo
17_36422,,Q36422,Tag:historic:era=neolithic
17_36477,,Q36477,Key:longitude
17_36495,,Q36495,Key:name:nan
17_36539,,Q36539,Tag:amenity=baking_oven
17_36794,,Q36794,Key:door
17_37038,,Q37038,Key:advertising
17_37442,,Q37442,Key:kerb|Tag:barrier=kerb
17_37447,,Q37447,Key:postal_code
17_37901,,Q37901,Tag:natural=strait
17_38490,,Q38490,Tag:sport=dog_training
17_38516,,Q38516,Tag:leisure=dog_park
17_38720,,Q38720,Tag:man_made=windmill
17_39425,,Q39425,Tag:tourism=wilderness_hut
17_39594,,Q39594,Tag:natural=bay
17_39614,,Q39614,Tag:landuse=cemetery
17_39631,,Q39631,Tag:healthcare=doctor
17_39715,,Q39715,Tag:man_made=lighthouse
17_39816,,Q39816,Tag:natural=valley
17_40080,,Q40080,Tag:natural=beach
17_40089,,Q40089,Tag:building:material=brick
17_40203,,Q40203,Tag:historic:era=paleolithic
17_40348,,Q40348,Key:lawyer|Tag:office=lawyer
17_40357,,Q40357,Tag:amenity=prison
17_40561,,Q40561,Tag:sport=sumo
17_40821,,Q40821,Tag:healthcare:speciality=surgery
17_40858,,Q40858,Tag:resource=gas
17_41044,,Q41044,Key:currency:RUB
17_41176,,Q41176,Key:building|Tag:building=yes
17_41253,,Q41253,Tag:amenity=cinema
17_41323,,Q41323,Tag:sport=american_football
17_41466,,Q41466,Tag:sport=ice_hockey
17_41927,,Q41927,Tag:cuisine=okinawa_ryori
17_42253,,Q42253,Key:url
17_42295,,Q42295,Tag:natural=shrub
17_42302,,Q42302,Tag:resource=clay
17_42486,,Q42486,Tag:sport=wrestling
17_42523,,Q42523,Tag:biotic_reef:type=atoll
17_42834,,Q42834,Tag:historic:civilization=western_roman
17_42948,,Q42948,Tag:barrier=wall|Tag:support=wall
17_42973,,Q42973,Key:architect|Key:architect:wikidata
17_43004,,Q43004,Tag:religion=animist
17_43024,,Q43024,Key:payment:sms
17_43114,,Q43114,Tag:sport=aikido
17_43450,,Q43450,Tag:sport=gymnastics
17_43483,,Q43483,Tag:man_made=water_well
17_43501,,Q43501,Key:zoo|Tag:tourism=zoo
17_43812,,Q43812,Key:diplomatic:services:passport=yes
17_44155,,Q44155,Tag:historic:era=mesolithic
17_44377,,Q44377,Key:tunnel
17_44494,,Q44494,Tag:craft=grinding_mill
17_44539,,Q44539,Tag:building=temple
17_44613,,Q44613,Tag:amenity=monastery
17_45584,,Q45584,Tag:denomination=vaishnavism
17_45701,,Q45701,Key:waste
17_45791,,Q45791,Tag:man_made=geoglyph
17_45813,,Q45813,Tag:historic:civilization=hun
17_46169,,Q46169,Tag:boundary=national_park
17_46383,,Q46383,Tag:cuisine=sushi
17_46622,,Q46622,Tag:highway=motorway
17_47053,,Q47053,Tag:estuary=yes
17_47521,,Q47521,Key:waterway
17_47591,,Q47591,Tag:building:architecture=byzantine
17_47629,,Q47629,Tag:cuisine=german
17_47692,,Q47692,Tag:garden:style=chinese
17_47913,,Q47913,Tag:government=intelligence
17_47942,,Q47942,Tag:building:architecture=functionalism
17_48204,,Q48204,Tag:office=association
17_48356,,Q48356,Tag:tower:type=minaret
17_48634,,Q48634,Tag:tomb=sarcophagus
17_48803,,Q48803,Tag:landuse=greenhouse_horticulture
17_49378,,Q49378,Tag:denomination=coptic_catholic
17_49389,,Q49389,Key:tourism|Tag:tourism=yes
17_49833,,Q49833,Tag:generator:method=wind_turbine|Tag:generator:source=wind
17_49844,,Q49844,Tag:amenity=post_box
17_50231,,Q50231,Key:china_class
17_50620,,Q50620,Key:ski:telemark
17_50776,,Q50776,Tag:sport=australian_football
17_52824,,Q52824,Tag:historic:period=jomon
17_53060,,Q53060,Tag:barrier=gate
17_54050,,Q54050,Tag:natural=peak
17_54111,,Q54111,Tag:building:architecture=neo-classicism|Tag:building:architecture=neoclassical|Tag:building:architecture=neoclassicism
17_54831,,Q54831,Tag:theatre:type=amphi
17_55488,,Q55488,Tag:railway=station
17_55493,,Q55493,Tag:landuse=railway|Tag:railway=yard
17_55678,,Q55678,Tag:railway=halt|Tag:railway=stop
17_56061,,Q56061,Tag:boundary=administrative
17_57036,,Q57036,Key:sauna|Tag:amenity=sauna|Tag:leisure=sauna
17_57305,,Q57305,Tag:amenity=exhibition_centre
17_57743,,Q57743,Tag:landuse=village_green
17_58635,,Q58635,Key:name:pa|Key:name:pnb
17_58663,,Q58663,Tag:post_box:type=pillar
17_58878,,Q58878,Key:roadtrain
17_58917,,Q58917,Tag:man_made=adit
17_59772,,Q59772,Tag:kiln=lime
17_59774,,Q59774,Tag:denomination=wicca
17_60995,,Q60995,Tag:denomination=russian_orthodox
17_62447,,Q62447,Tag:aeroway=aerodrome
17_62832,,Q62832,Tag:landuse=observatory|Tag:man_made=observatory
17_64842,,Q64842,Tag:denomination=armenian_catholic
17_64849,,Q64849,Tag:denomination=ethiopian_catholic
17_64868,,Q64868,Tag:denomination=chaldean_catholic
17_64871,,Q64871,Tag:denomination=syro-malabar_catholic
17_64900,,Q64900,Tag:denomination=maronite
17_74156,,Q74156,Tag:building:architecture=orientalist
17_75809,,Q75809,Tag:denomination=lutheran
17_77115,,Q77115,Tag:amenity=community_centre
17_77604,,Q77604,Tag:healthcare:speciality=radiology
17_79007,,Q79007,Key:addr:street
17_79719,,Q79719,Key:source:license
17_79913,,Q79913,Tag:operator:type=ngo
17_80015,,Q80015,Tag:healthcare:speciality=gynaecology
17_80071,,Q80071,Key:symbol
17_80151,,Q80151,Tag:clothes=hats
17_80793,,Q80793,Tag:display=sundial
17_80970,,Q80970,Tag:denomination=orthodox
17_81058,,Q81058,Tag:healthcare:speciality=homeopathy
17_81096,,Q81096,Tag:office=engineer
17_81103,,Q81103,Tag:historic=cannon
17_81235,,Q81235,Tag:amenity=atm
17_81715,,Q81715,Key:barrier
17_81799,,Q81799,Tag:amenity=fast_food
17_81917,,Q81917,Tag:tower:type=defensive
17_82117,,Q82117,Tag:building=gatehouse|Tag:historic=city_gate
17_82650,,Q82650,Key:taxi
17_82799,,Q82799,Key:name
17_82818,,Q82818,Tag:railway=switch
17_83042,,Q83042,Tag:healthcare:speciality=neurology
17_83405,,Q83405,Tag:industrial=factory|Tag:man_made=works
17_83462,,Q83462,Tag:sport=weightlifting
17_88205,,Q88205,Tag:castle_type=castrum
17_89934,,Q89934,Tag:political_division=linguistic_community
17_91122,,Q91122,Tag:building=bunker|Tag:military=bunker
17_91285,,Q91285,Tag:fortification=martello_tower
17_91764,,Q91764,Key:trench|Tag:military=trench
17_91939,,Q91939,Tag:bunker_type=hardened_aircraft_shelter
17_92026,,Q92026,Tag:castle_type=shiro
17_92069,,Q92069,Tag:bunker_type=pillbox
17_93191,,Q93191,Tag:denomination=baptist
17_93267,,Q93267,Tag:natural=isthmus
17_94247,,Q94247,Tag:network=US:I
17_94951,,Q94951,Tag:cuisine=regional
17_101659,,Q101659,Tag:megalith_type=dolmen
17_101815,,Q101815,Tag:crop=tea
17_101849,,Q101849,Tag:denomination=reformed
17_101929,,Q101929,Tag:healthcare:speciality=immunology
17_102078,,Q102078,Tag:resource=bauxite
17_102786,,Q102786,Key:short_name
17_103204,,Q103204,Key:flickr
17_103824,,Q103824,Tag:healthcare:speciality=haematology
17_104319,,Q104319,Tag:denomination=adventist|Tag:denomination=seventh_day_adventist
17_105190,,Q105190,Tag:man_made=dyke
17_105650,,Q105650,Tag:healthcare:speciality=urology
17_105731,,Q105731,Key:lock
17_106123,,Q106123,Tag:network=e-road
17_107390,,Q107390,Tag:place=state
17_107679,,Q107679,Tag:natural=cliff
17_108325,,Q108325,Tag:building=chapel
17_108429,,Q108429,Tag:sport=archery
17_109607,,Q109607,Tag:building=ruins|Tag:historic=ruins
17_110223,,Q110223,Tag:denomination=mennonite
17_110701,,Q110701,Tag:electrified=contact_line|Tag:trolley_wire=yes
17_113603,,Q113603,Tag:social_facility=food_bank
17_118301,,Q118301,Tag:healthcare:speciality=orthodontics
17_120569,,Q120569,Tag:healthcare:speciality=gastroenterology
17_121713,,Q121713,Tag:healthcare:speciality=acupuncture
17_122960,,Q122960,Tag:building:architecture=rococo
17_123028,,Q123028,Tag:healthcare:speciality=paediatrics
17_123559,,Q123559,Tag:historic:civilization=islamic_iberia
17_123705,,Q123705,Tag:place=neighbourhood
17_124282,,Q124282,Tag:waterway=dock
17_124354,,Q124354,Tag:building:architecture=bauhaus
17_124714,,Q124714,Tag:natural=spring
17_125054,,Q125054,Tag:brand:wikidata=Q125054|Tag:brand=ALDI
17_126017,,Q126017,Key:distance
17_126807,,Q126807,Tag:amenity=kindergarten|Tag:building=kindergarten
17_126936,,Q126936,Tag:historic:civilization=visigothic_kingdom
17_128033,,Q128033,Tag:books:language:eo=yes
17_128406,,Q128406,Tag:healthcare:speciality=pharmacology
17_129211,,Q129211,Tag:zoo=enclosure
17_130949,,Q130949,Key:ski|Tag:sport=skiing
17_131036,,Q131036,Tag:religion=scientologist
17_131263,,Q131263,Tag:military=barracks
17_131295,,Q131295,Tag:amenity=brothel
17_131471,,Q131471,Tag:sport=darts
17_131473,,Q131473,Key:currency:ISK
17_131502,,Q131502,Tag:power=generator
17_131596,,Q131596,Tag:place=farm
17_131681,,Q131681,Tag:landuse=reservoir|Tag:water=reservoir
17_131723,,Q131723,Key:currency:XBT|Key:payment:bitcoin
17_131734,,Q131734,Key:brewery|Tag:craft=brewery
17_131862,,Q131862,Tag:man_made=survey_point
17_132325,,Q132325,Tag:healthcare:speciality=ayurveda
17_132744,,Q132744,Key:fax
17_132911,,Q132911,Tag:highway=elevator
17_133201,,Q133201,Tag:sport=squash
17_133215,,Q133215,Tag:amenity=casino
17_133800,,Q133800,Key:name:pnb
17_133833,,Q133833,Tag:resource=gravel
17_134178,,Q134178,Tag:historic:civilization=minoan
17_134447,,Q134447,Tag:plant:source=nuclear
17_134574,,Q134574,Key:pump
17_136851,,Q136851,Tag:sport=curling
17_137097,,Q137097,Tag:denomination=alevi
17_142031,,Q142031,Tag:railway=funicular
17_142576,,Q142576,Tag:network=PK:national
17_143746,,Q143746,Tag:amenity=compressed_air
17_144492,,Q144492,Tag:bridge:movable=tilt
17_144964,,Q144964,Tag:historic:civilization=thracian
17_145658,,Q145658,Tag:shop=greengrocer
17_146233,,Q146233,Key:name:genitive
17_148319,,Q148319,Tag:amenity=planetarium
17_148571,,Q148571,Tag:barrier=fence|Tag:support=fence
17_149566,,Q149566,Tag:isced:level=2
17_149621,,Q149621,Tag:place=district
17_152081,,Q152081,Tag:prison_camp=concentration_camp
17_152355,,Q152355,Tag:craft=shoemaker
17_152810,,Q152810,Tag:landuse=landfill
17_153084,,Q153084,Tag:man_made=groyne
17_153551,,Q153551,Tag:shop=charity
17_153697,,Q153697,Tag:crop=coffee
17_154383,,Q154383,Key:takeaway
17_154549,,Q154549,Tag:craft=carpenter
17_155511,,Q155511,Tag:landuse=plant_nursery
17_156354,,Q156354,Tag:crop=coffee
17_156362,,Q156362,Tag:craft=winery
17_156705,,Q156705,Key:ref:INSEE
17_157570,,Q157570,Tag:amenity=crematorium
17_157798,,Q157798,Tag:craft=watchmaker
17_157956,,Q157956,Tag:historic:era=dynasty_XIX
17_158218,,Q158218,Tag:bridge:structure=truss
17_158438,,Q158438,Tag:bridge:structure=arch
17_158555,,Q158555,Tag:bridge:structure=cable-stayed
17_158626,,Q158626,Tag:bridge:structure=beam
17_159354,,Q159354,Tag:sport=rowing
17_159719,,Q159719,Tag:power=plant
17_159992,,Q159992,Tag:sport=surfing
17_160131,,Q160131,Tag:craft=bakery
17_161380,,Q161380,Tag:payment:credit_cards=yes
17_161437,,Q161437,Tag:healthcare:speciality=ophthalmology
17_161851,,Q161851,Key:condo
17_162324,,Q162324,Tag:building:architecture=international_style
17_162555,,Q162555,Tag:healthcare:speciality=oncology
17_162606,,Q162606,Tag:healthcare:speciality=endocrinology
17_162875,,Q162875,Tag:tomb=mausoleum
17_163218,,Q163218,Tag:denomination=foursquare
17_164240,,Q164240,Tag:site_type=megalith
17_165029,,Q165029,Tag:craft=electrician
17_165044,,Q165044,Tag:building=greenhouse
17_165704,,Q165704,Tag:athletics=high_jump
17_166118,,Q166118,Tag:amenity=archive
17_166557,,Q166557,Tag:barrier=stile
17_166735,,Q166735,Tag:wetland=swamp
17_167346,,Q167346,Tag:garden:type=botanical
17_168577,,Q168577,Tag:robot:type=vacuum
17_169180,,Q169180,Tag:government=ombudsperson
17_169358,,Q169358,Tag:volcano:type=stratovolcano
17_170208,,Q170208,Tag:denomination=quaker
17_170285,,Q170285,Key:traffic_sign
17_170321,,Q170321,Tag:natural=wetland
17_170404,,Q170404,Key:diplomatic:services:immigrant_visas|Key:diplomatic:services:non-immigrant_visas
17_170449,,Q170449,Tag:surface=mud
17_170477,,Q170477,Tag:man_made=chimney
17_170737,,Q170737,Tag:sport=long_jump
17_170980,,Q170980,Tag:memorial=obelisk
17_171038,,Q171038,Tag:baseball=softball|Tag:sport=softball
17_171171,,Q171171,Tag:healthcare:speciality=dermatology
17_171201,,Q171201,Tag:denomination=hasidic
17_171401,,Q171401,Tag:sport=futsal
17_171448,,Q171448,Tag:railway=level_crossing
17_171529,,Q171529,Key:canoe
17_171741,,Q171741,Tag:healthcare:speciality=depth
17_171764,,Q171764,Tag:denomination=ahmadiyya
17_172175,,Q172175,Tag:denomination=vajrayana
17_172809,,Q172809,Tag:sport=10pin
17_173387,,Q173387,Tag:cemetery=grave
17_173725,,Q173725,Key:air_conditioning
17_174419,,Q174419,Tag:building:architecture=french_second_empire|Tag:building:architecture=second_empire
17_174782,,Q174782,Tag:place=square
17_174814,,Q174814,Tag:power=substation
17_174945,,Q174945,Tag:designation=area_of_outstanding_natural_beauty
17_176637,,Q176637,Tag:shop=pawnbroker
17_177275,,Q177275,Tag:sport=bobsleigh
17_177635,,Q177635,Tag:healthcare:speciality=nephrology
17_177749,,Q177749,Key:sidewalk|Tag:footway=sidewalk
17_177823,,Q177823,Key:diet:halal
17_178108,,Q178108,Tag:athletics=javelin_throw
17_178150,,Q178150,Tag:power=insulator
17_178169,,Q178169,Tag:denomination=presbyterian
17_178380,,Q178380,Tag:sport=paragliding
17_178512,,Q178512,Key:public_transport|Tag:type=public_transport
17_178692,,Q178692,Tag:man_made=crane
17_178743,,Q178743,Tag:memorial=stele
17_179049,,Q179049,Tag:boundary=protected_area|Tag:leisure=nature_reserve
17_179226,,Q179226,Key:horse|Tag:sport=horse_riding
17_179415,,Q179415,Key:massage
17_179700,,Q179700,Tag:artwork_type=statue|Tag:memorial=statue
17_179829,,Q179829,Tag:denomination=ethiopian_orthodox
17_180174,,Q180174,Tag:castle=folly
17_180507,,Q180507,Tag:healthcare:speciality=radiotherapy
17_180516,,Q180516,Key:room
17_180568,,Q180568,Tag:historic:period=new_kingdom
17_180673,,Q180673,Tag:boundary=ceremonial
17_180817,,Q180817,Tag:cuisine=portuguese
17_180846,,Q180846,Tag:shop=supermarket
17_180935,,Q180935,Tag:athletics=shot_put
17_180958,,Q180958,Key:faculty
17_180987,,Q180987,Tag:tower:type=stupa
17_181138,,Q181138,Key:diet:vegan
17_181264,,Q181264,Tag:historic:civilization=mycenaean
17_181348,,Q181348,Tag:bridge=viaduct
17_181623,,Q181623,Tag:industrial=warehouse
17_181901,,Q181901,Tag:denomination=romanian_orthodox
17_182290,,Q182290,Tag:government=customs
17_182442,,Q182442,Tag:healthcare:speciality=plastic_surgery
17_182555,,Q182555,Key:ice_road
17_182570,,Q182570,Tag:athletics=discus_throw
17_182610,,Q182610,Tag:power=terminal
17_182651,,Q182651,Tag:denomination=samaritan
17_182676,,Q182676,Tag:tourism=alpine_hut
17_183018,,Q183018,Tag:sport=bandy
17_183057,,Q183057,Tag:healthcare:speciality=reiki
17_184356,,Q184356,Tag:telescope:type=radio
17_184358,,Q184358,Key:reef|Tag:natural=reef
17_184590,,Q184590,Tag:aeroway=runway
17_184624,,Q184624,Tag:resource=peat
17_184865,,Q184865,Tag:athletics=hammer_throw
17_184963,,Q184963,Tag:historic:period=edo
17_185027,,Q185027,Tag:athletics=pole_vault
17_185113,,Q185113,Tag:natural=cape
17_185187,,Q185187,Tag:man_made=watermill
17_185196,,Q185196,Tag:healthcare=midwife
17_185851,,Q185851,Tag:sport=lacrosse
17_186005,,Q186005,Tag:healthcare=physiotherapist
17_186222,,Q186222,Key:ski:alpine
17_186363,,Q186363,Tag:building:architecture=gothic_revival|Tag:building:architecture=neo-gothic
17_186516,,Q186516,Tag:flag:type=national
17_186685,,Q186685,Tag:amenity=marae
17_187022,,Q187022,Tag:vending=newspapers
17_187204,,Q187204,Tag:athletics=triple_jump
17_187317,,Q187317,Tag:leisure=firepit
17_187456,,Q187456,Key:bar|Tag:amenity=bar
17_187916,,Q187916,Tag:sport=horse_racing
17_187934,,Q187934,Tag:railway=monorail
17_187971,,Q187971,Tag:waterway=wadi
17_187979,,Q187979,Tag:historic:period=early_dynastic_period
17_188040,,Q188040,Tag:landuse=quarry
17_188298,,Q188298,Tag:amenity=clock
17_188307,,Q188307,Tag:denomination=salvation_army
17_188447,,Q188447,Tag:power=cable
17_188449,,Q188449,Tag:healthcare:speciality=neurosurgery
17_188460,,Q188460,Key:resource
17_188504,,Q188504,Tag:healthcare=alternative
17_188509,,Q188509,Tag:place=suburb
17_188688,,Q188688,Tag:playground=swing
17_188734,,Q188734,Tag:natural=sinkhole
17_188814,,Q188814,Tag:denomination=serbian_orthodox
17_188869,,Q188869,Tag:landuse=farmland
17_189004,,Q189004,Tag:amenity=college|Tag:building=college
17_189259,,Q189259,Tag:surface=asphalt
17_189317,,Q189317,Tag:sport=petanque
17_189409,,Q189409,Key:lottery
17_189553,,Q189553,Tag:healthcare:speciality=otolaryngology
17_189603,,Q189603,Tag:healthcare:speciality=community
17_189753,,Q189753,Tag:religion=pagan
17_190107,,Q190107,Key:monitoring:weather
17_190489,,Q190489,Tag:leaf_cycle=evergreen
17_190672,,Q190672,Tag:emergency=fire_extinguisher
17_190928,,Q190928,Tag:industrial=shipyard|Tag:waterway=boatyard
17_190992,,Q190992,Tag:historic:civilization=iberian
17_191324,,Q191324,Tag:historic:period=middle_kingdom
17_191552,,Q191552,Tag:resource=iron_ore
17_191839,,Q191839,Tag:source=aerial_imagery
17_192087,,Q192087,Tag:cuisine=indian
17_192350,,Q192350,Tag:government=ministry
17_192375,,Q192375,Tag:aeroway=hangar|Tag:building=hangar
17_192420,,Q192420,Tag:sport=karting
17_192611,,Q192611,Tag:boundary=political
17_192619,,Q192619,Tag:amenity=crypt|Tag:tomb=crypt
17_192786,,Q192786,Tag:cuisine=italian
17_192824,,Q192824,Key:iata
17_192832,,Q192832,Tag:sport=paintball
17_192935,,Q192935,Tag:cuisine=seafood
17_192937,,Q192937,Tag:sport=korfball
17_192995,,Q192995,Tag:healthcare:speciality=vaccination
17_193210,,Q193210,Tag:sport=parachuting
17_193292,,Q193292,Tag:historic:period=heian
17_193312,,Q193312,Tag:denomination=anglican
17_193387,,Q193387,Tag:sport=croquet
17_193470,,Q193470,Tag:generator:type=gas_turbine
17_193475,,Q193475,Tag:megalith_type=menhir
17_193886,,Q193886,Tag:man_made=cooling_tower|Tag:tower:type=cooling
17_194166,,Q194166,Tag:operator:type=consortium
17_194188,,Q194188,Tag:aeroway=spaceport
17_194253,,Q194253,Tag:denomination=evangelical
17_194356,,Q194356,Tag:plant:source=wind|Tag:site=wind_farm
