#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wdatap1282
17_99638865,,Q99638865,Tag:network=US:OH:HOL
17_99638871,,Q99638871,Tag:network=US:OH:JEF
17_99638880,,Q99638880,Tag:network=US:OH:LIC
17_99638906,,Q99638906,Tag:network=US:OH:LOG
17_99639078,,Q99639078,Tag:network=US:OH:LUC
17_99639089,,Q99639089,Tag:network=US:OH:MAH
17_99646960,,Q99646960,Tag:network=US:OH:MED
17_99646973,,Q99646973,Tag:network=US:OH:MOE
17_99646989,,Q99646989,Tag:network=US:OH:MRW
17_99647012,,Q99647012,Tag:network=US:OH:OTT
17_99647020,,Q99647020,Tag:network=US:OH:PAU
17_99647025,,Q99647025,Tag:network=US:OH:PER
17_99647032,,Q99647032,Tag:network=US:OH:POR
17_99647168,,Q99647168,Tag:network=US:OH:SEN
17_99647276,,Q99647276,Tag:network=US:OH:STA
17_99647321,,Q99647321,Tag:network=US:OH:SUM
17_99658434,,Q99658434,Tag:network=US:OH:TUS
17_99658440,,Q99658440,Tag:network=US:OH:UNI
17_99658446,,Q99658446,Tag:network=US:OH:VIN
17_99658458,,Q99658458,Tag:network=US:OH:WAY
17_99658495,,Q99658495,Tag:network=US:OH:WIL
17_99658503,,Q99658503,Tag:network=US:OH:WOO
17_99658533,,Q99658533,Tag:network=US:OH:WYA
17_99658559,,Q99658559,Tag:network=US:OH:HAM
17_99658706,,Q99658706,Tag:network=US:OH:AUG
17_99658729,,Q99658729,Tag:network=US:OH:FAI
17_99658889,,Q99658889,Tag:network=US:OH:GAL
17_99671184,,Q99671184,Tag:network=US:OH:KNO
17_99678140,,Q99678140,Tag:network=US:OH:LAW
17_99678821,,Q99678821,Tag:network=US:OH:SCI
17_99768055,,Q99768055,Tag:network=US:OH:MAD
17_99773426,,Q99773426,Key:maxweight
17_99955787,,Q99955787,Tag:cycle_network=US:PA
17_99963338,,Q99963338,Tag:cycle_network=US:NY
17_99963527,,Q99963527,Tag:cycle_network=US:NC
17_99963807,,Q99963807,Tag:cycle_network=US:GA
17_100348587,,Q100348587,Key:live_music
17_101251405,,Q101251405,Tag:network=US:OH:MRG
17_102240431,,Q102240431,Tag:china_class=cun
17_103821032,,Q103821032,Tag:vending=toll
17_104642575,,Q104642575,Role:label
17_104759444,,Q104759444,Tag:bicycle_parking=wall_loops
17_104817981,,Q104817981,Tag:shop=furniture
17_104911496,,Q104911496,Tag:flag:type=military
17_104969796,,Q104969796,Tag:man_made=street_cabinet
17_105080952,,Q105080952,Tag:wetland=tidalflat
17_105094236,,Q105094236,Tag:dog=no
17_105100922,,Q105100922,Tag:dog=yes
17_105104046,,Q105104046,Tag:traffic_calming=choker
17_105686546,,Q105686546,Tag:craft=bookbinder
17_105912002,,Q105912002,Tag:amenity=stroller_parking
17_106342608,,Q106342608,Tag:network=US:TX:Van_Zandt
17_106600783,,Q106600783,Tag:emergency=dry_riser_inlet
17_106688343,,Q106688343,Tag:amenity=grit_bin|Tag:colour=yellow|Tag:content=salt|Tag:material=wood|Tag:operator=Baltimore City Department of Transportation
17_106817283,,Q106817283,Tag:booth=K6
17_106817398,,Q106817398,Tag:booth=K2
17_106858884,,Q106858884,120756603
17_106994142,,Q106994142,Tag:natural=tree_row
17_107003167,,Q107003167,ref:monumentaltrees
17_107041232,,Q107041232,Key:campwild
17_107133771,,Q107133771,Tag:highway=tertiary
17_107274313,,Q107274313,Tag:service=commuter
17_107299031,,Q107299031,Tag:brand:wikidata=Q107299031|Tag:brand=Krowarzywa
17_107599282,,Q107599282,Tag:deep_draft=yes
17_107616175,,Q107616175,Tag:location=outdoor
17_108862123,,Q108862123,Tag:landuse=commercial
17_109389617,,Q109389617,8156154
17_109921054,,Q109921054,Tag:surface=tartan
17_110090224,,Q110090224,Tag:smoking=separated
17_110227645,,Q110227645,Tag:religion=pastafarian
17_110301411,,Q110301411,Tag:amenity=kick-scooter_rental
17_110543011,,Q110543011,Key:parking
17_110661422,,Q110661422,Tag:amenity=animal_breeding
17_110714724,,Q110714724,Tag:man_made=beehive
17_110887037,,Q110887037,Key:parking:condition
17_110887044,,Q110887044,Key:parking:lane
