OBJECTID *,Shape *,admin3Name_pt,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin2Name_pt,admin2Pcode,admin1Name_pt,admin1Pcode,admin0Name_en,admin0Name_pt,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
1,Polygon,7 De Abril,MZ070901,<Null>,<Null>,<Null>,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,02/04/2019,07/06/2019,<Null>,"1,095383","0,046486"
411,Polygon,Zumbu,MZ101503,<Null>,<Null>,<Null>,Zumbu,MZ1015,Tete,MZ10,Mozambique,Moçambique,MZ,02/04/2019,07/06/2019,<Null>,"3,406989","0,413425"
