#adm3+name+i_pt,#adm3+code,#adm3+name+ref,#adm3+name+i_pt+alt1,#adm3+name+i_pt+alt2,#adm2+name+i_pt,#adm2+code,#adm1+name+i_pt,#adm1+code,#country+name+i_en,#country+name+i_pt,#country+code,#date,#date+valid_on,#date+valid_to,#meta+Shape_Length,#meta+Shape_Area
7 De Abril,MZ070901,,,,Meconta,MZ0709,Nampula,MZ07,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,1.095383,0.046486
Zumbu,MZ101503,,,,Zumbu,MZ1015,Tete,MZ10,Mozambique,Moçambique,MZ,2019-04-02,2019-06-07,,3.406989,0.413425
